ID,Common Name,Scientific Name,Family,Order/Taxa,Category,Sub-Category,Location,Habitat,Trophic Level,Ecological Role,Description,Image Target,Survey Source,Contributor Team
FA-09,Black Drongo (King Crow),Dicrurus macrocercus,Dicruridae,Passeriformes (Perching Birds),Bird (Avifauna / Passerine),Birds (Avifauna),Metro Cafe,"High electrical lines, open canopy perches",Secondary Consumer / Aerial Insectivore (Trophic Level 3),Agile insectivore with glossy black plumage and a distinct deeply forked tail. Perches high to hunt flying insects (hawking) and fearlessly mob raptors.,"All-black passerine with an unmistakable deeply forked tail. Renowned for its aerial acrobatic hunting displays catching dragonflies, cicadas, and moths mid-air.",dicrurus_macrocercus.png,Survey Specimen 21,Team Aryan
FA-10,House Crow,Corvus splendens,Corvidae,Passeriformes (Perching Birds),Bird (Avifauna / Corvidae),Birds (Avifauna),Campus-wide / Academic & Dining vicinity,Urban / Terrestrial (Anthropogenic environments),Tertiary Consumer / Omnivorous Scavenger (Trophic Level 4),"Omnivorous, highly intelligent urban bird characterized by a grey neck collar. Functions as a scavenger cleaning food scraps and biological waste across campus.","Slender crow recognized by its pale grey nape, neck, and breast contrasted with glossy black forehead and wings. Acts as a campus scavenger and opportunist predator.",corvus_splendens.png,Survey Specimen 22,Team Aryan
FA-11,Bonnet Macaque,Macaca radiata,Cercopithecidae,Primates (Monkeys & Apes),Mammal (Primate / Simian),Mammals,Gents Hostel,"Tree canopies, building roofs, hostel terraces",Primary/Secondary Consumer & Frugivore (Trophic Level 2-3),"Endemic South Indian macaque recognized by the bonnet-like whorl of hair on its head. Plays a role in seed dispersal while foraging across fruits, leaves, and trees.","Arboreal cercopithecine monkey endemic to peninsular India, noted for its radiating cap of dark hair. Troops travel across campus trees feeding on date palm drupes, peppervine berries, and tree shoots.",macaca_radiata.png,Survey Specimen 23,Team Aryan
FA-12,Indian Pariah Dog (Desi Dog / INDog),Canis lupus familiaris,Canidae,Carnivora (Carnivores),Mammal (Carnivora / Canidae),Mammals,Backside of AB3,"Campus open grounds, shaded sandpits, shaded walkways",Tertiary Consumer / Apex Predator & Scavenger (Trophic Level 4),"Ancient landrace indigenous dog breed adapted to tropical climate. Highly territorial and plays a scavenger role, co-existing peacefully within the campus ecosystem.","Indigenous primitive landrace dog characterized by erect ears, wedge-shaped head, and curved tail. Functions as a territorial apex mammalian scavenger across the campus boundary.",canis_lupus_familiaris.png,Survey Specimen 24,Team Aryan
FA-13,Indian Peafowl (Peacock - National Bird of India),Pavo cristatus,Phasianidae,Galliformes (Gamebirds),Bird (Avifauna / Galliformes),Birds (Avifauna),Pathway behind Dhanyas,"Open scrub, grassy meadows, forest edges",Secondary / Tertiary Consumer & Predator (Trophic Level 3-4),"Large ground bird with striking iridescent blue neck and fan crest. Omnivorous diet includes seeds, insects, and small reptiles (snakes), controlling garden pests.","The National Bird of India, possessing iridescent cobalt blue neck plumage, fan-shaped crest, and magnificent elongated upper tail coverts with vibrant ocelli. Preys upon ground insects, snails, and lizards.",pavo_cristatus.png,Survey Specimen 25,Team Aryan
FA-14,Oriental Garden Lizard (Changeable Lizard),Calotes versicolor,Agamidae,Squamata (Lizards & Snakes),Reptile (Squamata / Agamidae),Reptiles,Pathway behind Dhanyas,"Garden shrubs, low branches, sunny fence posts",Secondary Consumer / Insectivore (Trophic Level 3),"Diurnal agamid lizard capable of color change during breeding/thermoregulation. Feeds extensively on insect pests like crickets, moths, and caterpillars.",Diurnal arboreal agamid lizard capable of physiological color shifts. Males develop crimson throat patches during courtship. An efficient ambush predator regulating insect pest numbers.,calotes_versicolor.png,Survey Specimen 26,Team Aryan
FA-15,Domestic Cat (Campus Tabby / Feral Cat),Felis catus,Felidae,Carnivora (Carnivores),Mammal (Carnivora / Felidae),Mammals,Gents Hostel,"Human-inhabited areas, dining halls, building perimeters",Tertiary Consumer / Small Carnivore & Apex Predator (Trophic Level 4),"Small carnivorous feline that controls campus rodent populations (mice, rats) around human-inhabited areas.",Agile carnivorous feline adapted to semi-feral campus life. Serves as a vital biological regulator of commensal rodents and small invasive pests around student residences.,felis_catus.png,Survey Specimen 27,Team Aryan
FA-16,Common Lime Butterfly / Lemon Swallowtail,Papilio demoleus,Papilionidae,Lepidoptera (Butterflies & Moths),Insect (Swallowtail Butterfly / Lepidoptera),Insects / Arthropods,AB1 & Campus Gardens,"Gardens, flowering vegetation, open areas",Primary Consumer / Herbivore (Trophic Level 2),Fast-flying tailless swallowtail with intricate yellowish-white chevron patterns on black wings and distinct tornal red eye-spots. Key pollinator of flowering campus shrubs.,Prominent swallowtail butterfly displaying black wings densely patterned with sulfur-yellow markings and a blue-and-red eyespot on the inner margin of hindwings. Larvae feed on Rutaceae.,papilio_demoleus.png,Assignment 2 Survey (Team Katyayani),Team Katyayani
FA-17,Checkered Keelback (Asiatic Water Snake),Fowlea piscator,Colubridae,Squamata (Lizards & Snakes),Reptile (Non-venomous Water Snake / Colubridae),Reptiles,Bio Block & Storm-water drain off Hostel Link Road,"Wetlands, drains, standing water and freshwater margins",Tertiary Consumer / Carnivore (Trophic Level 3-4),"Semi-aquatic non-venomous colubrid snake that feeds primarily on fish, frogs, and small amphibians in campus stormwater drains, serving as a biological regulator of drain wetland fauna.",Robust medium-sized freshwater snake with keeled dorsal scales and characteristic checkered black-and-olive dorsal pattern. Demonstrates exceptional diving and swimming agility.,fowlea_piscator.png,Assignment 2 Survey (Team Katyayani & Team Prathin & Team Rehan),Team Katyayani
FA-18,Blue Tiger Butterfly,Tirumala limniace,Nymphalidae,Lepidoptera (Butterflies & Moths),Insect (Milkweed Butterfly / Danainae),Insects / Arthropods,Perimeter green belt shrubbery,Semi-shaded green belt and nectar shrubbery,Primary Consumer / Herbivore (Trophic Level 2),"Aposematically colored butterfly sequestering toxic cardenolides from host plants, rendering it unpalatable to predatory birds. Efficient pollinator with slow, cruising flight.","Large, elegant danaid butterfly featuring blackish-brown wings with distinct bluish-white semi-transparent streaks and submarginal spots.",tirumala_limniace.png,Assignment 2 Survey (Team Prathin),Team Prathin
FA-19,Noctuid Owlet Moth,Noctuidae sp.,Noctuidae,Lepidoptera (Butterflies & Moths),Insect (Moth / Noctuidae),Insects / Arthropods,Service road south of Hostel Link Road,Corridor walls near outdoor nighttime illumination,Primary Consumer / Herbivore (Trophic Level 2),"Nocturnally active moth attracted to exterior artificial lights, forming an essential nocturnal food base for hunting campus geckos and resting garden lizards.",Cryptically camouflaged stout-bodied moth with drab greyish-brown forewings held roof-like over the body at rest.,noctuidae_sp.png,Assignment 2 Survey (Team Prathin),Team Prathin
FA-20,Tawny Coster,Acraea terpsicore,Nymphalidae,Lepidoptera (Butterflies & Moths),Insect (Heliconiinae Butterfly / Acraeini),Insects / Arthropods,Near Cricket Ground & Main Canteen lawns,Open grassy patches with low flowering herbs,Primary Consumer / Herbivore (Trophic Level 2),"Hardy aposematic butterfly that exhibits unpalatability to predators by secreting foul fluids from legs. Pollinates ground composites (Tridax, Persicaria).",Small-to-medium butterfly with translucent tawny-orange wings bordered by a black margin embedded with white spots and black transverse spots on forewings.,acraea_terpsicore.png,Assignment 2 Survey (Team Rehan),Team Viswa
FA-21,Jungle Babbler,Argya striata,Leiothrichidae,Passeriformes (Perching Birds),Bird (Avifauna / Songbird),Birds (Avifauna),AB1 Cafeteria & Garden perimeters,"Building ledges, low dense shrubbery, gregarious flocks",Secondary Consumer / Insectivore-Omnivore (Trophic Level 3),"Congeneric cousin to the Yellow-billed Babbler, distinguished by its uniformly mottled earthy-grey plumage and faint streaking. Forages in noisy cooperative groups, aerating leaf litter and gleaning insect pests.","Medium-sized brownish-grey songbird with pale creamy eyes, heavy yellow bill, and mottled upperparts. Travels in close-knit groups through lower vegetation.",argya_striata.png,Assignment 2 Survey (Team Rehan),Team Viswa
FA-22,Long-legged Marsh Glider,Trithemis pallidinervis,Libellulidae,Odonata (Dragonflies & Damselflies),Insect (Dragonfly / Libellulidae),Insects / Arthropods,Near Cricket Ground & Wetland margins,"Open grassland, dry twigs near marshy terrain",Secondary Consumer / Aerial Predator (Trophic Level 3),"Distinctive slender dragonfly characterized by exceptionally long legs adapted to perch on bare emergent twigs facing windward. Voracious predator of mosquitoes, gnats, and flies.","Medium dragonfly with yellowish-brown thorax, black-and-yellow patterned abdomen, red pterostigma, and noticeably elongated legs used to perch prominently on dry stalks.",trithemis_pallidinervis.png,Assignment 2 Survey (Team Rehan),Team Viswa
FA-23,Indian Red Bug,Probergrothius sanguinolens,Largidae,Hemiptera (True Bugs),Insect (True Bug / Largidae),Insects / Arthropods,Pathway near main canteen,"Sunny pavement, masonry bases, leaf litter near trees",Primary Consumer / Seed Bug (Trophic Level 2),"Aposematic hemipteran that feeds on fallen tree seeds (especially Sterculiaceae & Malvaceae), aggregating in large gregarious clusters on sunlit pavements.",Stout shield-shaped bug with vivid orange-red thorax and hemelytra marked with distinct black central rhomboid patches. Distinct from Dysdercus cingulatus.,probergrothius_sanguinolens.png,Assignment 2 Survey (Team Rehan),Team Viswa
FA-24,Asian Honeybee / Indian Honeybee,Apis cerana,Apidae,"Hymenoptera (Wasps, Bees, Ants)",Insect (Social Pollinator / Apidae),Insects / Arthropods,Near AB3,Foraging across Ixora and Hibiscus floral beds,Primary Consumer / Kept & Wild Pollinator (Trophic Level 2),"Indigenous wild social honeybee vital for campus cross-pollination. Forages extensively on tubular Ixora flowers, transferring pollen across flora.","Medium-sized honeybee with golden-yellow and dark brown abdominal stripes, hairy thorax, and specialized pollen baskets (corbiculae) on hind legs.",apis_cerana.png,Assignment 2 Survey (Team Rehan),Team Viswa
FA-25,Greater Coucal / Southern Crow Pheasant,Centropus sinensis,Cuculidae,Cuculiformes (Cuckoos),Bird (Avifauna / Cuculidae),Birds (Avifauna),Near Football ground,"Dense tree canopy, campus grove, tangled thickets",Tertiary / Apex Avian Predator (Trophic Level 4),"Large non-parasitic cuckoo that stalks ground and lower branches hunting snakes (including keelbacks), lizards, large beetles, snails, and caterpillars. Acts as a top avian regulator.",Striking large glossy-black bird with contrasting deep chestnut-rufous wings and ruby-red eyes. Renowned for its deep resonant 'coop-coop-coop' territorial call.,centropus_sinensis.png,Assignment 2 Survey (Team Rehan),Team Viswa
FA-26,Common Mormon Butterfly,Papilio polytes,Papilionidae,Lepidoptera (Butterflies & Moths),Insect (Swallowtail Butterfly / Papilionidae),Insects / Arthropods,Central Gardens & Citrus Shrub Borders,"Flowering hedges, open sunny garden beds",Primary Consumer / Pollinator (Trophic Level 2),Classic Batesian mimic butterfly whose females mimic unpalatable species like the Crimson Rose. Larvae graze on Rutaceae plants while adults are active pollinators.,"Jet-black swallowtail butterfly; males display a distinct band of white discal spots across the hindwing, while females display polymorphic Batesian mimicry morphs.",papilio_polytes.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-27,Domino Beetle / Six-spotted Ground Beetle,Anthia sexguttata,Carabidae,Coleoptera (Beetles),Insect (Predatory Ground Beetle / Carabidae),Insects / Arthropods,Vama Sundari Park & Dry Scrub Paths,"Ground surface, sandy soil, and dry leaf litter",Secondary Consumer / Predator (Trophic Level 3),"Fierce cursorial ground predator hunting ants, caterpillars, and soft-bodied insects. Defends itself by spraying irritating formic acid when threatened.","Large, flightless ground beetle with a velvety black body ornamented with six conspicuous creamy-white dorsal spots (four on elytra, two on thorax).",anthia_sexguttata.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-28,Bush Cricket / Katydid,Tettigoniidae sp.,Tettigoniidae,Orthoptera (Grasshoppers & Crickets),Insect (Bush Cricket / Tettigoniidae),Insects / Arthropods,Hostel Greenery & Low Shrub Foliage,"Dense foliage, tall grasses, and shrub crowns",Primary Consumer / Herbivore (Trophic Level 2),"Leaf-mimicking nocturnal herbivore that feeds on foliage, flowers, and buds. Serves as key prey for lizards, praying mantises, and birds.","Bright green cricket with exceptionally long, hair-like antennae exceeding body length and leaf-shaped wings that provide camouflage among foliage.",tettigoniidae_sp.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-29,House Mosquito / True Mosquito,Culex sp.,Culicidae,Diptera (True Flies),Insect (Nematoceran Fly / Culicidae),Insects / Arthropods,Drainage Channels & Shaded Corridors,"Stagnant water pools, drainage channels, shaded corridors",Primary / Parasitic Consumer (Trophic Level 2-3),"Aquatic larvae filter organic particulate matter in standing pools; adults feed on plant nectar (males) or vertebrate blood (females), serving as critical prey for dragonflies and bats.","Slender, long-legged insect with piercing-sucking proboscis and scaled wing veins. Rests with thorax and abdomen held parallel to the resting surface.",culex_sp.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-30,Common Picture Wing Dragonfly / Variegated Flutterer,Rhyothemis variegata,Libellulidae,Odonata (Dragonflies & Damselflies),Insect (Dragonfly / Libellulidae),Insects / Arthropods,Campus Wetland Basin & Open Lawns,"Open airspace near ponds, drainage basins, and marshy lawns",Secondary Consumer / Aerial Predator (Trophic Level 3),"Distinctive fluttering dragonfly with butterfly-like flapping flight. An agile aerial insectivore preying on gnats, midges, and mosquitoes over campus water bodies.",Striking dragonfly with golden-amber and iridescent dark purplish-brown mottled wings resembling butterfly wings. Flutters gently above water margins.,rhyothemis_variegata.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-31,Asian Weaver Ant-mimicking Jumping Spider,Myrmaplata plataleoides,Salticidae,Araneae (Spiders),Arachnid (Ant-mimic Spider / Salticidae),Arachnids / Arthropods,Foliage of Mango and Guava Trees,Leaves and twigs of bushes inhabited by Asian weaver ants,Secondary Consumer / Ambush Predator (Trophic Level 3),Extraordinary Batesian and aggressive mimic that perfectly resembles aggressive weaver ants (*Oecophylla smaragdina*) to deter predators while hunting small insects.,Slender jumping spider with an elongated abdomen and waist-like cephalic constrictions mimicking an ant body. Males possess elongated forward-pointing chelicerae.,myrmaplata_plataleoides.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-32,Two-striped Jumper Spider,Telamonia dimidiata,Salticidae,Araneae (Spiders),Arachnid (Jumping Spider / Salticidae),Arachnids / Arthropods,Campus Hedges & Garden Leaves,"Shrub leaves, tree bark, sunny foliage",Secondary Consumer / Visual Predator (Trophic Level 3),"Diurnal visual hunter with acute stereoscopic vision that stalks and pounces on flies, leafhoppers, and small garden insects without building silk webs.","Slender, colorful salticid spider; females exhibit a yellowish-green body with two prominent longitudinal reddish-brown stripes along the opisthosoma.",telamonia_dimidiata.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-33,Asian Common Toad / Black-spined Toad,Duttaphrynus melanostictus,Bufonidae,Anura (Frogs & Toads),Amphibian (True Toad / Bufonidae),Amphibians / Vertebrates,Damp Garden Soil & Building Foundations,"Damp leaf litter, garden soil, drain margins, nocturnal walkways",Secondary Consumer / Insectivore (Trophic Level 3),"Nocturnal terrestrial amphibian consuming large numbers of insects, termites, and snails. Features prominent parotoid glands secreting protective bufotoxins.","Medium to large stout-bodied toad with rough, warty skin accented by black-tipped spines and elevated cranial ridges. Active primarily at dusk and during humid weather.",duttaphrynus_melanostictus.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-34,Indian Cricket Frog / Wetland Paddy Frog,Fejervarya sp. (syn. Minervarya sp.),Dicroglossidae,Anura (Frogs & Toads),Amphibian (Dicroglossid Frog),Amphibians / Vertebrates,Campus Stormwater Channel & Wet Grass,"Moist grass, seasonal puddles, edges of drainage ditches",Secondary Consumer / Insectivore (Trophic Level 3),"Small, moisture-dependent frog that feeds voraciously on aquatic and semi-terrestrial insect larvae. Serves as primary prey for water snakes and egrets.","Small cryptic frog with longitudinal glandular ridges along its greyish-brown dorsum and pointed snout. Renowned for its rapid, repeating cricket-like advertisement calls.",fejervarya_sp.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-35,Peninsular Rock Agama / South Indian Rock Agama,Psammophilus dorsalis,Agamidae,Squamata (Lizards & Snakes),Reptile (Agamid Lizard / Squamata),Reptiles,Stone Kerbs & Sunlit Boulder Formations,"Rocky outcrops, granite landscaping blocks, brick walls",Secondary Consumer / Insectivore (Trophic Level 3),"Heliothermic saxicolous lizard that basks on rocks to thermoregulate while ambushing ants, beetles, and crickets. Dominant breeding males display bright orange-and-black coloration.",Flattened rock-dwelling agamid with a triangular head and keeled scales. Breeding males exhibit brilliant orange or crimson head and back contrasted with jet-black sides.,psammophilus_dorsalis.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-36,Russell's Viper / Indian Kukri Snake,Daboia russelii (cf. Oligodon arnensis),Viperidae / Colubridae,Squamata (Lizards & Snakes),Reptile (Squamata / Serpentes),Reptiles,Dry Scrub & Rocky Embankments,"Dry scrub, grass margins, and rocky ground crevices",Tertiary Consumer / Carnivore (Trophic Level 4),"Solitary nocturnal serpentine predator that controls rodent, frog, and lizard populations across campus peripheral scrub belts.",Slender to stout-bodied serpent featuring distinct geometric chevron occipital markings and mottled dorsal patterning adapted for cryptic camouflage in leaf litter.,daboia_russelii.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-37,Western Cattle Egret,Bubulcus ibis (syn. Ardea ibis),Ardeidae,Pelecaniformes (Herons & Egrets),Bird (Wading Bird / Ardeidae),Birds (Avifauna),Campus Lawns & Sports Ground Borders,"Open mown lawns, sports grounds, perimeter wetlands",Tertiary Consumer / Carnivorous Predator (Trophic Level 3-4),"Gregarious terrestrial heron that stalks across open lawns feeding on disturbed grasshoppers, frogs, crickets, and worms, regulating lawn pest populations.","Compact white heron with a stout yellow bill, dark legs, and during breeding season, rich golden-buff plumes on the crown, neck, and back.",bubulcus_ibis.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FA-38,Indian Palm Squirrel / Three-striped Palm Squirrel,Funambulus palmarum,Sciuridae,Rodentia (Rodents),Mammal (Rodentia / Sciuridae),Mammals,Campus Temple & Tree Canopies,"Tree trunks, garden walls, ground leaf litter, building eaves",Primary/Secondary Consumer & Granivore-Frugivore (Trophic Level 2-3),"Highly agile diurnal arboreal squirrel that feeds on seeds, nuts, palm fruits, nectar, and small insects. Acts as an important campus seed disperser and occasional pollinator.",Small bushy-tailed squirrel with three distinctive creamy-white longitudinal stripes along its grizzled greyish-brown back. Renowned for its high-pitched bird-like alarm call.,funambulus_palmarum.png,Assignment 2 Survey (Team Sasthika - Team 33),Team Sasthika
FA-39,House Sparrow,Passer domesticus,Passeridae,Passeriformes (Perching Birds),Bird (Avifauna / Passeridae),Birds (Avifauna),Campus Temple & Courtyard Pavements,"Anthropogenic structures, temple eaves, paved courtyards",Primary/Secondary Consumer & Granivore-Insectivore (Trophic Level 2-3),"Iconic urban passerine that thrives near human habitation, gleaning grass seeds and discarded food scraps while feeding insect larvae to its chicks, providing natural garden pest control.","Compact, stout seed-eating passerine. Males feature a bold grey crown, chestnut neck, and black throat bib; females are soft sandy-brown with a distinct buff supercilium.",passer_domesticus.png,Assignment 2 Survey (Team Sasthika - Team 33),Team Sasthika
FA-40,Black Crazy Ant / Longhorn Ant,Paratrechina longicornis,Formicidae,"Hymenoptera (Wasps, Bees, Ants)",Insect (Social Ant / Formicidae),Insects / Arthropods,Campus Temple & Stone Pathways,"Tree trunks, stone pavements, soil crevices near gardens",Secondary Consumer / Scavenger & Generalist Predator (Trophic Level 2-3),"Ubiquitous social insect that moves in erratic, rapid darting patterns ('crazy ant'). Scavenges dead invertebrates, tends aphids and scale insects for honeydew, and cleans micro-organic campus debris.","Slender dark brown to black ant with extraordinarily long 12-segmented antennae and long legs, exhibiting characteristically rapid and jerky zigzag locomotion.",paratrechina_longicornis.png,Assignment 2 Survey (Team Sasthika - Team 33),Team Sasthika
FA-41,Common Myna,Acridotheres tristis,Sturnidae,Passeriformes (Perching Birds),Bird (Avifauna / Sturnidae),Birds (Avifauna),Central Campus Grass Lawns & Dining Precincts,"Open lawns, paved walkways, outdoor canteen perimeters",Secondary Consumer & Omnivore (Trophic Level 3),"Highly adaptable urban passerine bird that feeds on ground insects, grasshoppers, seeds, and anthropogenic food scraps, regulating turf pest populations.","Medium-sized brown starling with a black head, distinctive bright yellow orbital patch behind the eye, yellow bill, yellow legs, and white wing patches visible in flight.",acridotheres_tristis.png,Assignment 2 Survey (Team Asmath),Team Asmath
FA-42,Asian Koel,Eudynamys scolopaceus,Cuculidae,Cuculiformes (Cuckoos),Bird (Avifauna / Cuculidae),Birds (Avifauna),High Canopy Broadleaf Foliage & Neem Canopy,"Dense tree canopy, neem groves, high foliage foliage branches",Secondary Consumer & Frugivore-Insectivore (Trophic Level 3),"Arboreal frugivorous and insectivorous cuckoo that consumes figs, berries, caterpillars, and tree insects. Brood parasite primarily laying eggs in House Crow nests.","Large, long-tailed cuckoo with striking sexual dimorphism. Males are glossy blue-black with a pale green bill and crimson eyes; females are dark brown spotted and barred with white.",eudynamys_scolopaceus.png,Assignment 2 Survey (Team Asmath),Team Asmath
